127.0.0.1 - - [08/Mar/2020:18:27:25 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:28 +0900] "GET /BBS/MovieMain.jsp HTTP/1.1" 200 4232
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:28 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:29 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:29 +0900] "GET /BBS/image/1.jpg HTTP/1.1" 200 73500
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:29 +0900] "GET /BBS/image/3.jpg HTTP/1.1" 200 216721
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:29 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:29 +0900] "GET /BBS/image/2.jpg HTTP/1.1" 200 173477
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:30 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:38 +0900] "GET /BBS/movieList.movie HTTP/1.1" 200 2940
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:38 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:38 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:38 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:38 +0900] "GET /BBS/image/%EB%B0%B1%EB%91%90%EC%82%B0.jpg HTTP/1.1" 200 57121
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:38 +0900] "GET /BBS/image/%EC%B2%9C%EB%AC%B8.jpg HTTP/1.1" 200 225643
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:38 +0900] "GET /BBS/image/%EB%8B%A5%ED%84%B0%20%EB%91%90%EB%A6%AC%ED%8B%80.jpg HTTP/1.1" 200 158198
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:38 +0900] "GET /BBS/image/%ED%9E%88%ED%8A%B8%EB%A7%A8.jpg HTTP/1.1" 200 347443
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:50 +0900] "GET /BBS/bbsList.bbs?pageNumber=1 HTTP/1.1" 200 5320
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:50 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:50 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:27:50 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
