127.0.0.1 - - [24/Mar/2020:21:04:15 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:04:20 +0900] "GET /CgvProject/main.html HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:04:20 +0900] "GET /CgvProject/css/layout.css HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:04:20 +0900] "GET /CgvProject/images/header/h1_cgv.png HTTP/1.1" 200 3851
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:04:20 +0900] "GET /CgvProject/images/header/h2_cultureplex.png HTTP/1.1" 200 3493
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:04:20 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:29:04 +0900] "GET /CgvProject/main.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:29:04 +0900] "GET /CgvProject/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:29:04 +0900] "GET /CgvProject/images/header/h1_cgv.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:29:04 +0900] "GET /CgvProject/images/header/h2_cultureplex.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:29:04 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:30:14 +0900] "GET /CgvProject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:30:17 +0900] "GET /CgvProject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:30:17 +0900] "GET /CgvProject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:30:17 +0900] "GET /CgvProject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:30:43 +0900] "GET /CgvProject/main.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:33:17 +0900] "GET /CgvProject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:21:34:07 +0900] "GET /CgvProject/main.html HTTP/1.1" 200 1804
